ID,Name,Type,Has Leggacy,Offering (Estimated),Expiry,Egg,Egg Value,Duration,Size,Token,Std#1,Std#2,Std#3,Std Rate/hr,Elt#1,Elt#2,Elt#3,Elt Rate/hr,#PE,Std PE Goal,Std PE Rate/hr,Elt PE Goal,Elt PE Rate/hr,JSON,Protobuf (base64)
first-contract,Your First Contract,Original,false,-,-,Medical,6.25,4h,-,-,100000,500M,,125.000M,,,,,0,,,,,"{""id"":""first-contract"",""egg_type"":3,""rewards"":[{""_1"":1,""goal"":100000,""type"":2,""name"":""subtype"",""count"":192,""_6"":10},{""_1"":1,""goal"":500000000,""type"":7,""name"":""subtype"",""count"":2,""_6"":50}],""expiry_timestamp"":1669714683.5356262,""duration_seconds"":14400,""name"":""Your First Contract"",""description"":""We heard you are open to contract work! Help fill this order from the local pharmacy!"",""max_soul_eggs"":1000,""min_client_version"":19}",Cg5maXJzdC1jb250cmFjdBADGigIAREAAAAAAGr4QBgCIgdzdWJ0eXBlKQAAAAAAAGhAMQAAAAAAACRAGigIAREAAAAAZc29QRgHIgdzdWJ0eXBlKQAAAAAAAABAMQAAAAAAAElAMbNH4r504dhBOQAAAAAAIMxAShNZb3VyIEZpcnN0IENvbnRyYWN0UlVXZSBoZWFyZCB5b3UgYXJlIG9wZW4gdG8gY29udHJhY3Qgd29yayEgSGVscCBmaWxsIHRoaXMgb3JkZXIgZnJvbSB0aGUgbG9jYWwgcGhhcm1hY3khaQAAAAAAQI9AcBM=
engage,Engage!,Original,true,2018-03-10Z,2018-03-31T02:13:37Z,Dilithium,525000,2d,10,-,25T,750T,,15.625T,,,,,1,750T,15.625T,,,"{""id"":""engage"",""egg_type"":11,""rewards"":[{""_1"":1,""goal"":25000000000000,""type"":3,""name"":""subtype"",""count"":10000,""_6"":100000},{""_1"":1,""goal"":750000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":1000000000000}],""coop_allowed"":true,""max_coop_size"":10,""expiry_timestamp"":1522462417.7375426,""duration_seconds"":172800,""name"":""Engage!"",""description"":""The Federation of planets needs more fuel for their star fleet!""}",CgZlbmdhZ2UQCxooCAERAACQHsS8tkIYAyIHc3VidHlwZSkAAAAAAIjDQDEAAAAAAGr4QBooCAERAACn3PdQBUMYBCIHc3VidHlwZSkAAAAAAADwPzEAAACilBptQiABKAox5jNvtLuv1kE5AAAAAAAYBUFKB0VuZ2FnZSFSP1RoZSBGZWRlcmF0aW9uIG9mIHBsYW5ldHMgbmVlZHMgbW9yZSBmdWVsIGZvciB0aGVpciBzdGFyIGZsZWV0IQ==
easter-real,Easter Egg Shortage,Original,true,2018-03-18Z,2018-04-08T16:33:15Z,Easter,0.05,7d,50,-,2.5T,100T,5q,29.762T,,,,,2,5q,29.762T,,,"{""id"":""easter-real"",""egg_type"":101,""rewards"":[{""_1"":1,""goal"":2500000000000,""type"":2,""name"":""subtype"",""count"":192,""_6"":100},{""_1"":1,""goal"":100000000000000,""type"":7,""name"":""subtype"",""count"":2,""_6"":100000},{""_1"":1,""goal"":5000000000000000,""type"":4,""name"":""subtype"",""count"":2,""_6"":1000000000}],""coop_allowed"":true,""max_coop_size"":50,""expiry_timestamp"":1523205195.0931025,""duration_seconds"":604800,""name"":""Easter Egg Shortage"",""description"":""With so many planned easter eggs hunts around the galaxy, there is a shortage. We need your help!""}",CgtlYXN0ZXItcmVhbBBlGigIAREAAEDlnDCCQhgCIgdzdWJ0eXBlKQAAAAAAAGhAMQAAAAAAAFlAGigIAREAAJAexLzWQhgHIgdzdWJ0eXBlKQAAAAAAAABAMQAAAAAAavhAGigIAREAgOA3ecMxQxgEIgdzdWJ0eXBlKQAAAAAAAABAMQAAAABlzc1BIAEoMjFk9cUSkbLWQTkAAAAAAHUiQUoTRWFzdGVyIEVnZyBTaG9ydGFnZVJhV2l0aCBzbyBtYW55IHBsYW5uZWQgZWFzdGVyIGVnZ3MgaHVudHMgYXJvdW5kIHRoZSBnYWxheHksIHRoZXJlIGlzIGEgc2hvcnRhZ2UuIFdlIG5lZWQgeW91ciBoZWxwIQ==
chocolate-real,Chocolate!,Original,true,2018-03-18Z,2018-04-08T16:38:44Z,Chocolate,5,2d,5,-,10B,25T,100T,2.083T,,,,,1,100T,2.083T,,,"{""id"":""chocolate-real"",""egg_type"":100,""rewards"":[{""_1"":1,""goal"":10000000000,""type"":6,""name"":""subtype"",""count"":5000,""_6"":100},{""_1"":1,""goal"":25000000000000,""type"":2,""name"":""subtype"",""count"":192,""_6"":10000},{""_1"":1,""goal"":100000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":10000000}],""coop_allowed"":true,""max_coop_size"":5,""expiry_timestamp"":1523205524.1957502,""duration_seconds"":172800,""name"":""Chocolate!"",""description"":""Didn't take scientists long to figure out the smart thing to do was to just make chickens lay chocolate eggs.""}",Cg5jaG9jb2xhdGUtcmVhbBBkGigIAREAAAAgX6ACQhgGIgdzdWJ0eXBlKQAAAAAAiLNAMQAAAAAAAFlAGigIAREAAJAexLy2QhgCIgdzdWJ0eXBlKQAAAAAAAGhAMQAAAAAAiMNAGigIAREAAJAexLzWQhgEIgdzdWJ0eXBlKQAAAAAAAPA/MQAAAADQEmNBIAEoBTEshwxlkbLWQTkAAAAAABgFQUoKQ2hvY29sYXRlIVJtRGlkbid0IHRha2Ugc2NpZW50aXN0cyBsb25nIHRvIGZpZ3VyZSBvdXQgdGhlIHNtYXJ0IHRoaW5nIHRvIGRvIHdhcyB0byBqdXN0IG1ha2UgY2hpY2tlbnMgbGF5IGNob2NvbGF0ZSBlZ2dzLg==
quant-blitz,Quantum Blitz,Original,true,2018-03-30Z,2018-04-20T01:27:17Z,Quantum,3000,30m,3,-,2B,5B,25B,50.000B,,,,,1,25B,50.000B,,,"{""id"":""quant-blitz"",""egg_type"":7,""rewards"":[{""_1"":1,""goal"":2000000000,""type"":2,""name"":""0"",""count"":192,""_6"":10000},{""_1"":1,""goal"":5000000000,""type"":5,""name"":""epic_egg_laying"",""count"":1,""_6"":500000000},{""_1"":1,""goal"":25000000000,""type"":4,""name"":""0"",""count"":1,""_6"":50000000000}],""coop_allowed"":true,""max_coop_size"":3,""expiry_timestamp"":1524187637.3277462,""duration_seconds"":1800,""name"":""Quantum Blitz"",""description"":""The storage industry is in need of more Quantum Eggs, and they need them fast!""}",CgtxdWFudC1ibGl0ehAHGiIIAREAAAAAZc3dQRgCIgEwKQAAAAAAAGhAMQAAAAAAiMNAGjAIAREAAAAgX6DyQRgFIg9lcGljX2VnZ19sYXlpbmcpAAAAAAAA8D8xAAAAAGXNvUEaIggBEQAAAOh2SBdCGAQiATApAAAAAAAA8D8xAAAA6HZIJ0IgASgDMcv5VH1QttZBOQAAAAAAIJxASg1RdWFudHVtIEJsaXR6Uk5UaGUgc3RvcmFnZSBpbmR1c3RyeSBpcyBpbiBuZWVkIG9mIG1vcmUgUXVhbnR1bSBFZ2dzLCBhbmQgdGhleSBuZWVkIHRoZW0gZmFzdCE=
super-food-drive,Super Food Drive,Original,true,2018-04-06Z,2018-04-27T00:48:11Z,Superfood,1.25,3d,60,-,2.5T,50T,2.5q,34.722T,,,,,1,2.5q,34.722T,,,"{""id"":""super-food-drive"",""egg_type"":2,""rewards"":[{""_1"":1,""goal"":2500000000000,""type"":6,""count"":7500,""_6"":1000},{""_1"":1,""goal"":50000000000000,""type"":2,""count"":396,""_6"":1000000},{""_1"":1,""goal"":2500000000000000,""type"":4,""count"":1,""_6"":5000000000}],""coop_allowed"":true,""max_coop_size"":60,""expiry_timestamp"":1524790091.1444736,""duration_seconds"":259200,""name"":""Super Food Drive"",""description"":""Egg Farmers have flocked to high value eggs leaving people hungry! We need some Superfood eggs stat! Co-op recommended!""}",ChBzdXBlci1mb29kLWRyaXZlEAIaHwgBEQAAQOWcMIJCGAYpAAAAAABMvUAxAAAAAABAj0AaHwgBEQAAkB7EvMZCGAIpAAAAAADAeEAxAAAAAICELkEaHwgBEQCA4Dd5wyFDGAQpAAAAAAAA8D8xAAAAIF+g8kEgASg8MQ4/ydKcuNZBOQAAAAAApA9BShBTdXBlciBGb29kIERyaXZlUndFZ2cgRmFybWVycyBoYXZlIGZsb2NrZWQgdG8gaGlnaCB2YWx1ZSBlZ2dzIGxlYXZpbmcgcGVvcGxlIGh1bmdyeSEgV2UgbmVlZCBzb21lIFN1cGVyZm9vZCBlZ2dzIHN0YXQhIENvLW9wIHJlY29tbWVuZGVkIQ==
space-eggs,SpaceEggs,Original,true,2018-04-13Z,2018-05-04T01:51:22Z,Rocket Fuel,30,7d,6,-,3T,500T,,2.976T,,,,,0,,,,,"{""id"":""space-eggs"",""egg_type"":4,""rewards"":[{""_1"":1,""goal"":3000000000000,""type"":8,""count"":1,""_6"":25000},{""_1"":1,""goal"":500000000000000,""type"":2,""name"":""subtype"",""count"":500,""_6"":1000000000}],""coop_allowed"":true,""max_coop_size"":6,""expiry_timestamp"":1525398682.559095,""duration_seconds"":604800,""name"":""SpaceEggs"",""description"":""Spaceflight is booming due to re-usable rockets. Help fill the demand with this endurance contract.""}",CgpzcGFjZS1lZ2dzEAQaHwgBEQAAgHnv04VCGAgpAAAAAAAA8D8xAAAAAABq2EAaKAgBEQAANCb1a/xCGAIiB3N1YnR5cGUpAAAAAABAf0AxAAAAAGXNzUEgASgGMTbIoybvutZBOQAAAAAAdSJBSglTcGFjZUVnZ3NSY1NwYWNlZmxpZ2h0IGlzIGJvb21pbmcgZHVlIHRvIHJlLXVzYWJsZSByb2NrZXRzLiBIZWxwIGZpbGwgdGhlIGRlbWFuZCB3aXRoIHRoaXMgZW5kdXJhbmNlIGNvbnRyYWN0Lg==
new-solar-system,A New Sun,Original,true,2018-04-26Z,2018-05-17T23:26:47Z,Terraform,10M,3d,25,-,750B,150T,,2.083T,,,,,1,150T,2.083T,,,"{""id"":""new-solar-system"",""egg_type"":13,""rewards"":[{""_1"":1,""goal"":750000000000,""type"":2,""name"":""subtype"",""count"":720,""_6"":50000},{""_1"":1,""goal"":150000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":30000000000}],""coop_allowed"":true,""max_coop_size"":25,""expiry_timestamp"":1526599607.7987614,""duration_seconds"":259200,""name"":""A New Sun"",""description"":""A new solar system has been found with multiple habitable planets in need of terraforming!""}",ChBuZXctc29sYXItc3lzdGVtEA0aKAgBEQAAgHnv02VCGAIiB3N1YnR5cGUpAAAAAACAhkAxAAAAAABq6EAaKAgBEQAA7BaTDeFCGAQiB3N1YnR5cGUpAAAAAAAA8D8xAAAAsI7wG0IgASgZMege8+2Dv9ZBOQAAAAAApA9BSglBIE5ldyBTdW5SWkEgbmV3IHNvbGFyIHN5c3RlbSBoYXMgYmVlbiBmb3VuZCB3aXRoIG11bHRpcGxlIGhhYml0YWJsZSBwbGFuZXRzIGluIG5lZWQgb2YgdGVycmFmb3JtaW5nIQ==
prime-directive,Galactic Outreach,Original,true,2018-04-27Z,2018-05-18T02:19:04Z,Medical,6.25,10d,3,-,25T,200T,5q,20.833T,,,,,1,5q,20.833T,,,"{""id"":""prime-directive"",""egg_type"":3,""rewards"":[{""_1"":1,""goal"":25000000000000,""type"":3,""count"":10000,""_6"":1000},{""_1"":1,""goal"":200000000000000,""type"":2,""count"":500,""_6"":500000},{""_1"":1,""goal"":5000000000000000,""type"":4,""name"":""0"",""count"":1,""_6"":20000000000}],""coop_allowed"":true,""max_coop_size"":3,""expiry_timestamp"":1526609944.5893965,""duration_seconds"":864000,""name"":""Galactic Outreach"",""description"":""An emerging civilization needs to fight a health epidemic but is not ready for more advanced eggs. We need your help!""}",Cg9wcmltZS1kaXJlY3RpdmUQAxofCAERAACQHsS8tkIYAykAAAAAAIjDQDEAAAAAAECPQBofCAERAACQHsS85kIYAikAAAAAAEB/QDEAAAAAgIQeQRoiCAERAIDgN3nDMUMYBCIBMCkAAAAAAADwPzEAAAAgX6ASQiABKAMxrLglBo6/1kE5AAAAAABeKkFKEUdhbGFjdGljIE91dHJlYWNoUnVBbiBlbWVyZ2luZyBjaXZpbGl6YXRpb24gbmVlZHMgdG8gZmlnaHQgYSBoZWFsdGggZXBpZGVtaWMgYnV0IGlzIG5vdCByZWFkeSBmb3IgbW9yZSBhZHZhbmNlZCBlZ2dzLiBXZSBuZWVkIHlvdXIgaGVscCE=
mday-brunch,Mother's Day Brunch,Original,true,2018-05-04Z,2018-05-25T16:11:33Z,Edible,0.1,8h,10,-,25B,100B,5T,625.000B,,,,,1,5T,625.000B,,,"{""id"":""mday-brunch"",""egg_type"":1,""rewards"":[{""_1"":1,""goal"":25000000000,""type"":6,""name"":""subtype"",""count"":2500,""_6"":2000},{""_1"":1,""goal"":100000000000,""type"":5,""name"":""epic_egg_laying"",""count"":1,""_6"":700000},{""_1"":1,""goal"":5000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":50000000000}],""coop_allowed"":true,""max_coop_size"":10,""expiry_timestamp"":1527264693.47472,""duration_seconds"":28800,""name"":""Mother's Day Brunch"",""description"":""Mothers all over the galaxy are requesting omelettes and french toast for breakfast!""}",CgttZGF5LWJydW5jaBABGigIAREAAADodkgXQhgGIgdzdWJ0eXBlKQAAAAAAiKNAMQAAAAAAQJ9AGjAIAREAAADodkg3QhgFIg9lcGljX2VnZ19sYXlpbmcpAAAAAAAA8D8xAAAAAMBcJUEaKAgBEQAAQOWcMJJCGAQiB3N1YnR5cGUpAAAAAAAA8D8xAAAA6HZIJ0IgASgKMdBhXm0NwtZBOQAAAAAAINxAShNNb3RoZXIncyBEYXkgQnJ1bmNoUlRNb3RoZXJzIGFsbCBvdmVyIHRoZSBnYWxheHkgYXJlIHJlcXVlc3Rpbmcgb21lbGV0dGVzIGFuZCBmcmVuY2ggdG9hc3QgZm9yIGJyZWFrZmFzdCE=
